,tokens,full_name,dof,year,month,date,hour,sentiment,text
19,"['snowflakes', 'will', 'crawling', 'out', 'from', 'under', 'their', 'rocks', 'soon']","Sydney, New South Wales",3,2022,2,10,8,0.0,@Kev_COYS_ Snowflakes will be crawling out from under their rocks soon. #FuckemIsay.
20,"['was', 'sitting', 'there', 'with', 'paper', 'and', 'pen', 'trying', 'find', 'word', 'that', 'fitted', 'took', 'ages', 'should', 'have', 'opened', 'scrabble', 'set']","Sydney, New South Wales",3,2022,2,10,1,0.0,"@j1o1h1n I was sitting there with paper and pen trying to find a word that fitted. It took ages.

 I should have opened my scrabble set."
21,"['crushed', 'and', 'burnt']","Kaniva, Victoria",3,2022,2,10,14,-0.5,@jfouse Crushed and burnt.
22,"['that', 'about', 'where', 'okay', 'later', 'just', 'the', 'need', 'for', 'healing', 'space', 'now', 'not', 'okay', 'but', 'safe', 'thanks', 'for', 'your', 'love']","Bordertown, South Australia",3,2022,2,10,23,0.1875,"@jfouse That's about where I am Joel. I'll be okay later, I'm just in the need for healing space now.

I am not okay, but I am safe.

Thanks for your love."
23,"['this', 'very', 'pretty', 'photo']","Sydney, New South Wales",3,2022,2,10,1,0.3333333333333333,@mskylawinter @Goddessphotosau @TrystAus @ivysociete @dakotadice1 This is a very pretty photo !💕
24,"['how', 'old', 'are', 'you', 'where', 'you', 'from']","Melbourne, Victoria",3,2022,2,10,17,0.0,@mrclloow Hi how old are you where you from
25,"['had', 'good', 'start', 'got', 'wordle', '236']","Bathurst, New South Wales",3,2022,2,10,9,0.1875,"@carolduncan Had a good start,  got it in 3.
Wordle 236 3/6

⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩"
26,"['yes', 'well', 'keep', 'the', 'good', 'work', 'always', 'delight']","Canberra, Australian Capital Territory",3,2022,2,10,9,0.6923076923076923,"@rossalcroft Ah yes, well keep up the good work, always a delight. 👏"
27,"['poor', 'bugger', 'vote', 'the', 'bitch', 'out']","Doonan - Tinbeerwah, Queensland",3,2022,2,10,0,-1.0,"@AmyRemeikis Poor bugger,  vote the bitch out"
28,"['what', 'sad', 'sick', 'people', 'they', 'have', 'the']","Sydney, New South Wales",3,2022,2,10,2,-0.36363636363636365,"@nowimcarol What sad, sick people they have in the Liberal Party."
29,[''],"Brisbane, Queensland",3,2022,2,10,7,0.0,@MomoGembul https://t.co/zBltVNW1ga
30,"['great', 'thread', 'thankyou']","Melbourne, Victoria",3,2022,2,10,3,0.6,"@_esther Great thread, thankyou."
31,"['beautiful', 'nature', 'too']","Gold Coast, Queensland",3,2022,2,10,21,0.42857142857142855,@Kickasskiwi1 He is a beautiful nature too.
32,['absolutely'],"Gold Coast, Queensland",3,2022,2,10,21,0.0,@Kickasskiwi1 Absolutely.
33,"['batt', 'what', 'you', 'know', 'about', 'aged', 'care', 'what', 'crap', 'woman', 'you', 'are', 'election', 'look', 'forward', 'tear', 'you', 'apart', 'labor', 'twit']","Sydney, New South Wales",3,2022,2,10,7,-0.037037037037037035,"@the_shb Sarah batt
What do you know about aged care
What a crap woman you are.
Election I look forward to tear you apart , Labor twit"
34,"['she', 'another', 'dreamer', 'hahaaaa']","Sydney, New South Wales",3,2022,2,10,7,0.0,@the_shb She is another dreamer hahaaaa
35,"['how', 'dare', 'she', 'like', 'the', 'skin', 'she']","Adelaide, South Australia",3,2022,2,10,1,0.2,@newscomauHQ How dare she like the skin she's in 🤣
36,"['tranqui', 'que', 'los', 'uribistas', 'calman', 'despu', 'marzo']","Bogotá, D.C., Colombia",3,2022,2,10,11,0.0,@MONYRODRIGUEZOF Tranqui que los uribistas se calman después de marzo
37,"['what', 'makes', 'you', 'say', 'that', 'ate', 'you', 'getting', 'from', 'the', 'actual', 'source', 'here']","Melbourne, Victoria",3,2022,2,10,1,0.0,@bry82 @covidbaseau @VicGovDH What makes you say that ate you getting from the actual source i.e here: https://t.co/4nOsiBjgRC
38,"['yes', 'indeed']","Melbourne, Victoria",3,2022,2,10,0,0.25,@DrGrinzi @TurningPointAU Yes indeed
39,"['hasta', 'que', 'les', 'toca', 'horrible']","Canberra, Australian Capital Territory",3,2022,2,10,1,-0.375,@Cumbia_Ro Hasta que les toca. Es horrible
40,"['una', 'terrible', 'enfermedad', 'tanto', 'para', 'quien', 'tiene', 'como', 'para', 'quienes', 'los', 'rodean', 'hay', 'que', 'estar', 'esos', 'zapatos']","Canberra, Australian Capital Territory",3,2022,2,10,2,-0.13636363636363635,@Cumbia_Ro Es una terrible enfermedad  tanto para quien la tiene como para quienes los rodean. Hay que estar en esos zapatos.
41,[''],"Luddenham, New South Wales",3,2022,2,10,3,0.0,@96mitchclarke @theheraldsun #IStandWithThatPerson
42,"['rude', 'wants', 'equality', 'for', 'all', 'but', 'can', 'even', 'address', 'someone', 'their', 'name', 'didn', 'vaghela', 'lose', 'pre', 'selection', 'for', 'her', 'seat']","Melbourne, Victoria",3,2022,2,10,0,-0.07142857142857142,@96mitchclarke @heidimur @theheraldsun He is so rude. He wants equality for all but can't even address someone by their name. Didn't Ms Vaghela lose pre-selection for her seat?
43,"['you', 'need', 'drone', 'coffee', 'more', 'than', 'ever']","Canberra, Australian Capital Territory",3,2022,2,10,12,0.0,@okjustesting You need drone coffee more than ever
44,"['tell', 'about']","Sydney, New South Wales",3,2022,2,10,2,0.0,@marquelawyers Tell me about
45,"['hey', 'what', 'junk', 'were', 'you', 'yesterday', 'parliament', 'druggo']","Melbourne, Victoria",3,2022,2,10,3,0.0,"@cate_jess12 @marquelawyers Hey @TimWilsonMP, what junk were you on yesterday in Parliament? #auspol @LiberalAus Druggo."
46,"['self', 'interest', 'won']","Central Coast, New South Wales",3,2022,2,10,4,1.0,@marquelawyers Self interest won
47,"['loving', 'this', 'current', 'wave', 'agonism']","Sydney, New South Wales",3,2022,2,10,5,0.2857142857142857,@carolduncan Loving this current wave of agonism
48,"['reverse', '100', 'time']","New South Wales, Australia",3,2022,2,10,3,0.0,@BattlinGolfer Reverse 100% of time
49,[''],"Melbourne, Victoria",3,2022,2,10,0,0.0,@JouguuS 🥰🥰🥰😋😋
50,['inshallah'],"Melbourne, Victoria",3,2022,2,10,13,0.0,@BeanymanSports Inshallah
51,"['thanks', 'you', 'too']","Adelaide, South Australia",3,2022,2,10,0,0.5,"@Michelle3180 Thanks, you too🌺🦋"
52,"['was', 'nice', 'branding', 'exercise', 'for', 'the', 'moderates', 'that', 'about', 'all', 'achieved']","Melbourne, Victoria",3,2022,2,10,9,0.2,@RichardYabsley It was a nice branding exercise for the moderates. That's about all it achieved.
53,['ouch'],"Sydney, New South Wales",3,2022,2,10,0,-1.0,@VLWphotography Ouch!
54,"['thanks', 'mate', 'just', 'lil', 'glitch']","Perth, Western Australia",3,2022,2,10,9,0.25,"@Thewickedhunt Thanks mate, just a lil glitch 🙏🏽"
55,"['you', 'know', 'the', 'coast', 'too', 'well']","Perth, Western Australia",3,2022,2,10,9,0.0,@larkshots You know the coast too well 🙏🏽
56,"['thanks', 'has', 'massively', 'settled', 'today']","Perth, Western Australia",3,2022,2,10,9,0.25,"@MerrWatson Thanks Merr, has massively settled today! 🙏🏽"
57,['yup'],"Perth, Western Australia",3,2022,2,10,9,0.3333333333333333,@robmulally Yup 😂
58,"['the', 'only', 'thing', 'one', 'needs', 'know', 'about', 'commitment', 'media', 'freedom', 'that', 'still', 'belmash', 'doubt', 'soon', 'extradited', 'with', 'terrorists', 'for', 'practicing', 'actual', 'journalism']","Victoria, Australia",3,2022,2,10,8,0.0,"@MarisePayne @MediaFreedomC The only thing one needs to know about @MarisePayne's ""commitment"" to ""media freedom"" is that Julian Assange is STILL in HMP Belmash, no doubt soon to be extradited to ADX Florence with terrorists for practicing ACTUAL journalism."
59,"['not', 'going', 'find', 'but', 'there', 'was', 'tiktok', 'that', 'explained', 'that', 'the', 'last', 'person', 'legitimately', 'won', 'the', 'dark', 'saber', 'combat', 'because', 'after', 'that', 'the', 'chain', 'was', 'broken', 'was', 'the', 'legit', 'ruler', 'mandalore']","Brisbane, Queensland",3,2022,2,10,0,0.022222222222222223,"@RhyWil @Willbo__ I'm not going to go find it but there was a TikTok that explained that the last person to legitimately won the dark saber in combat (because after that the chain was broken) was Obi-wan

So Obi-Wan is the legit ruler of Mandalore"
60,"['she', 'made', 'the', 'claim', 'she', 'needs', 'name', 'names', 'let', 'the', 'investigation', 'run']","Queensland, Australia",3,2022,2,10,7,0.0,@deep_tez She made the claim. She needs to name names. Let the investigation run!
61,"['just', 'awful', 'for', 'her', 'thanks', 'for', 'your', 'message']","Canberra, Australian Capital Territory",3,2022,2,10,0,-0.09090909090909091,@KateEmerson88 It is just awful for her. Thanks for your message.
62,"['mornin', 'champ']","Suffolk Park, New South Wales",3,2022,2,10,19,0.0,@tomnoske_ Mornin champ
63,"['good', 'morning']","Perth, Western Australia",3,2022,2,10,8,0.75,@tomnoske_ Good Morning Tom
64,"['such', 'awesome', 'shot', 'remember', 'watching', 'this', 'video', 'yours']","Sydney, New South Wales",3,2022,2,10,1,0.26666666666666666,@tomnoske_ Gm Tom. Such an awesome shot. I remember watching this YouTube video of yours.
65,"['sadly', 'never', 'been', 'the', 'discussion', 'cking', 'ridiculous', 'home', 'grown', 'world', 'best', 'free', 'taker', 'can', 'play', 'amp', 'kicks', 'our', 'arse', 'every', 'time', 'plays']","Sydney, New South Wales",3,2022,2,10,9,-0.034482758620689655,"@chessspur Sadly he’s never been in the discussion. F$cking ridiculous. Home grown, world’s best free taker, can play &amp; kicks our arse every time he plays us. #LevyLewisFukoffNow"
66,"['welcome', 'the', 'dark', 'side', 'the', 'force']","Nambour, Queensland",3,2022,2,10,6,0.14285714285714285,@MarkHoltze Welcome to the dark side of the force Mark https://t.co/vX4Sht6pQ7
67,[''],"Sale, Victoria",3,2022,2,10,22,0.0,@goldenlily2017 https://t.co/AJJWAfgQeV
68,"['wordle', '236', 'and', 'mine']","Alice Springs, Northern Territory",3,2022,2,10,1,0.0,"@JoMcDonald12 @PaulineGrierso1 Wordle 236 4/6

🟨⬜⬜⬜🟩
🟨🟨🟨⬜🟩
🟩🟩🟨⬜🟩
🟩🟩🟩🟩🟩

And mine!"
69,"['this', 'one', 'also', 'not', 'legit']","Melbourne, Victoria",3,2022,2,10,2,0.0,@osnapitzmaymay @MikeOlbinski @MikeOlbinski is this one also not legit?
70,"['new', 'pax', 'panel', 'game']","Wodonga, Victoria",3,2022,2,10,1,0.0,@itstilby New pax panel game?
71,"['enjoy', 'your', 'shiz', 'bro']","Melbourne, Victoria",3,2022,2,10,4,0.4,@t3naciousgTTV Enjoy your shiz bro
72,"['haha', 'they', 'know', 'albo', 'single', 'and', 'not', 'family', 'man', 'with', 'voter', 'values', 'they', 'can', 'beat', 'that', 'and', 'they', 'don', 'like']","Victoria, Australia",3,2022,2,10,3,0.14814814814814814,"@catherine___c Haha they know Albo is single and is not a 'family man' with voter values 
They can't beat that and they don't like it 😗"
73,['amazon'],"Sydney, New South Wales",3,2022,2,10,0,0.0,@EjdOELqLCjr0Ouo Amazonで入手可能です
74,[''],"Sydney, New South Wales",3,2022,2,10,3,0.0,"@Dharma0126 (　＾Ｏ＾)っ◆
座布団を用意しておきました！"
75,"['non', 'malt', 'barley', 'surely', 'not']","Victoria, Australia",3,2022,2,10,3,0.0,"@theweeklytimes "" non malt barley"" ? surely not."
76,"['you', 'workin', 'nine', 'five']","Sydney, New South Wales",3,2022,2,10,5,0.0,@AmyRemeikis @Sue0606 You'll be workin nine to five
77,[''],"Sydney, New South Wales",3,2022,2,10,8,0.0,@Tiny_Tales_Cast ❤️❤️❤️
78,"['thank', 'you']","Melbourne, Victoria",3,2022,2,10,1,0.6666666666666666,@dhepdep Thank you!
79,"['thank', 'you']","Melbourne, Victoria",3,2022,2,10,1,0.5,@nyomenrobin @jhosephllorente Thank you!
80,"['this', 'exposes', 'these', 'grubs', 'for', 'what', 'they', 'are', 'this', 'was', 'the', 'right', 'move', 'take', 'this', 'hogwash', 'the', 'cross', 'bench', 'minus', 'don', 'lose', 'their', 'nerve', 'this', 'will', 'probably', 'end', 'the', 'scrap', 'heap', 'repealed', 'new', 'government']","Victoria, Australia",3,2022,2,10,2,-0.023255813953488372,@petajan This exposes these grubs for what they are. This was the right move to take. This hogwash. If the cross bench (minus Hanson ) don’t lose their nerve this will probably end up on the scrap heap or repealed by a new government.
81,"['oooh', 'hell', 'yea']","Perth, Western Australia",3,2022,2,10,0,-1.0,@LewisAEA Oooh hell yea
82,"['definitely', 'got', 'your', 'finger', 'the', 'pulse', 'there']","Sydney, New South Wales",3,2022,2,10,15,0.1,@timhollo Definitely got your finger on the pulse there 😏
83,"['labor', 'has', 'ticker', 'alp', 'lnp', 'lite']","Canberra, Australian Capital Territory",3,2022,2,10,0,-0.1111111111111111,@normboy562 @vogrady2132 Labor has no ticker. ALP = LNP LITE
84,"['they', 'need', 'asked', 'how', 'would', 'they', 'recognize']","Perth, Western Australia",3,2022,2,10,2,0.07142857142857142,@Judith54Nunn @fitzroy777 @CoffeeMyOxygen @MrDenmore They need to be asked. How would they recognize Jesus?
85,"['you', 'may', 'need', 'read', 'your']","Brisbane, Queensland",3,2022,2,10,14,0.0,@LornaMarkham1 @vanaalst @MrDenmore You may need to read up on your Stalin.
86,"['support', 'the', 'australian', 'athiest', 'association']","Braidwood, New South Wales",3,2022,2,10,4,0.2857142857142857,@MrDenmore @Olfella56 Support the Australian Athiest Association
87,[''],"Gold Coast, Queensland",3,2022,2,10,3,0.0,@MrDenmore I’m in. ✝️☸️🔯♊️☪️ https://t.co/pnkRg66uXi
88,[''],"Mullumbimby, New South Wales",3,2022,2,10,1,0.0,@MrDenmore https://t.co/m2LKKCogTN
89,"['how', 'lovely', 'that', 'you', 'celebrate', 'him', 'can', 'have', 'had', 'easy', 'time']","Melbourne, Victoria",3,2022,2,10,5,0.4117647058823529,@mollymcghee @HuxBear How lovely that you celebrate him. He can't have had an easy time of it
90,"['too', 'sure', 'there', 'were', 'few', 'moments', 'that', 'were', 'worrisome', 'but', 'the', 'team', 'there']","Gold Coast, Queensland",3,2022,2,10,0,0.0,"@DaleHof17168004 @PRGuy17 @AlboMP Me too, sure there were a few moments that were worrisome but the team go there."
91,"['yep', 'sure', 'did', 'but', 'watch', 'hole', 'try', 'claim', 'the', 'win', 'for', 'him']","Sydney, New South Wales",3,2022,2,10,3,0.25,@PRGuy17 @2hdor Yep.....sure did....but watch 💩hole Morrison try to claim the win for him
92,"['you', 'the', 'reason', 'why', 'the', 'girls', 'don', 'like', 'other', 'fanbases', 'should', 'stop', 'putting', 'their', 'noses', 'our', 'business']","Victoria, Australia",3,2022,2,10,0,0.045454545454545456,@darkyonce92_ @Latto You’re the reason why the girls don’t like Nicki …… other fanbases should stop putting their noses in our business
93,"['that', 'sounds', 'odd', 'got', 'supply', 'books', 'from', 'texas', 'still', 'the', 'way', 'and', 'could', 'only', 'pay', 'economy', 'which', 'was', 'will', 'take', 'weeks', 'arrive', 'but', 'wasn', 'given', 'the', 'option']","Victoria, Australia",3,2022,2,10,0,-0.07692307692307693,@repvlsive That sounds odd. I got a supply of books from Texas (still on the way) and I could only pay ‘economy’ which was $27. It will take 6 weeks to arrive but I wasn’t given the $75 option.
94,"['hope', 'dies', 'there']","Sydney, New South Wales",3,2022,2,10,1,0.2222222222222222,@Senator_Patrick @wayout1 @ScottMorrisonMP Hope it dies there 😠😡👎🏿👎🏽👎🏻
95,"['haven', 'watched', '60m', 'for', 'years']","Yungaburra, Queensland",3,2022,2,10,8,0.0,@philmupp1 Haven't watched 60m for years
96,"['loses', 'all', 'don', 'win', 'elections', 'mate', 'always', 'happy', 'throw', 'amp', 'kids', 'under', 'the', 'bus', 'the', 'trip', 'awaii', 'during', 'the', 'bushfires', 'jenny', 'amp', 'the', 'kids', 'wanted', 'holiday', 'anyone', 'woul', 'ink', 'jenny', 'his', 'empathy', 'coach']","Melbourne, Victoria",3,2022,2,10,4,0.0,"@philmupp1 So if he loses it's all on Jenny “I don't win elections mate”. he’s always happy to throw Jen &amp; kids under the bus, the trip to Hawaii during the bushfires:he said Jenny &amp; the kids wanted a holiday.Anyone would think Jenny is his “empathy” coach 😂 #stepfordwife #ScottyMustGo"
97,"['you', 'think', 'may', 'hit', '45999', 'first']","Adelaide, South Australia",3,2022,2,10,2,0.0,@greg16676935420 Do you think it may hit 45999.99 first?
98,"['bloody', 'marvellous']","Adelaide, South Australia",3,2022,2,10,10,-0.6,@Greybeard3 @YaThinkN Bloody marvellous ♥️♥️♥️
99,"['thought', 'only', 'liked', 'doing', 'this']","Sydney, New South Wales",3,2022,2,10,1,0.3333333333333333,@LiAleExperience I thought only I liked doing this 😈
100,"['this', 'true', 'interesting', 'perspective']","Brisbane, Queensland",3,2022,2,10,0,0.6666666666666666,@bengreenfuz This is true. Interesting perspective!
101,"['wait', 'gurl']","Sydney, New South Wales",3,2022,2,10,2,0.0,"@heidisapirate wait, ur a gurl?!"
102,"['worked', 'the', 'public', 'health', 'sector', 'for', 'decades', 'only', 'glad', 'never', 'taken', 'any', 'religious', 'hospital', 'emergency', 'amazed', 'your', 'options', 'are', 'limited', 'but', 'there', 'always', 'price', 'pay', 'because', 'they', 'aren', 'there', 'out', 'kindness', 'ask', 'mother']","Tasmania, Australia",3,2022,2,10,0,0.061224489795918366,"@briannasbell I've worked in the public health sector for decades
I'm only glad I'll never be taken to any religious hospital in an emergency
I'm amazed your options are so limited but there is always a price to pay because they aren't there out of kindness
Ask mother Teresa!"
103,"['that', 'very', 'fair', 'call', 'kids', 'have', 'switch', 'but', 'apart', 'from', 'the', 'not', 'looked', 'games', 'for', 'self', 'game', 'boy', 'game', 'remember', 'fondly', 'remake']","New South Wales, Australia",3,2022,2,10,6,0.07317073170731707,"@CMDRCentral_Max That is a very fair call. My kids have Switch but apart from the Mario Party I've not looked at games for my self. Advanced Wars is an OG game boy game I remember fondly, is it a remake?"
104,"['advance', 'stupid', 'auto', 'correct']","New South Wales, Australia",3,2022,2,10,6,-0.3333333333333333,@CMDRCentral_Max *Advance (stupid auto correct).
105,"['how', 'sweet']","Hobart, Tasmania",3,2022,2,10,7,0.6666666666666666,@MacdonellFiona How sweet!
106,"['that', 'right', 'eye', 'though']","Newman, Western Australia",3,2022,2,10,8,0.0,@Zzzyax @CWLuland @softb0ykylo That right eye though
107,['haha'],"Sydney, New South Wales",3,2022,2,10,2,1.0,@dan_huddy @rosehillgardens Haha 🙏
108,"['alright', 'alright']","Sydney, New South Wales",3,2022,2,10,2,0.14285714285714285,"@AlanGolotto @dan_huddy @rosehillgardens 😂 alright, alright"
109,"['wash', 'your', 'hands', 'with', 'the']","Sydney, New South Wales",3,2022,2,10,0,0.0,"@TByrne75 Wash your hands Geoffrey, with the Solvol Geoffrey"
110,"['thats', 'they', 'are', 'tryng', 'pass', 'really', 'disgusting', 'scomo', 'really', 'horrible', 'person']","Sydney, New South Wales",3,2022,2,10,1,-0.35294117647058826,"@sunriseon7 if thats  they are tryng to pass, really is disgusting,, scomo  is really  a horrible person,,"
111,[''],"Sydney, New South Wales",3,2022,2,10,0,1.5,@rossmrss ❤
112,"['wasn', 'expecting', 'this', 'pop', 'off', 'like', 'did', 'thanks', 'for', 'the', 'love', 'fam']","Gold Coast, Queensland",3,2022,2,10,20,0.4375,Wasn't expecting this to pop off like it did 🤣 thanks for the love fam 💖💖💖
113,"['that', 'fucking', 'funny']","Sydney, New South Wales",3,2022,2,10,6,0.0,@JessicaKirson That is so fucking funny
114,['what'],"Sydney, New South Wales",3,2022,2,10,2,0.0,@heidisapirate WHAT
115,"['you', 'not', 'being', 'honest', 'this', 'why', 'you', 'lost', 'senate', 'vote']","Nowra - Bomaderry, New South Wales",3,2022,2,10,0,-0.07692307692307693,@AdamBandt You're not being honest.  This is why you've lost my Senate vote.
116,"['neither', 'does', 'much', 'the', 'greens', 'they', 'throw', 'away', 'progress', 'because', 'not', 'their', 'perfect', 'vision', 'far', 'too', 'often', 'and', 'attack', 'labor', 'because', 'underneath', 'they', 'are', 'just', 'tories', 'heart', 'liberals', 'are', 'the', 'enemy', 'the', 'people', 'bandt', 'not', 'attacking', 'them']","St Georges Basin - Sanctuary Point, New South Wales",3,2022,2,10,3,0.09090909090909091,@Aurora8n8 @AdamBandt Neither does much the Greens do. They throw away progress because it's not their perfect vision far too often.  And attack labor because underneath they are just tories at heart.  Liberals are the enemy of the people. Bandt is not attacking them.
117,"['remember', 'what', 'happened', 'two', 'years', 'later']","Perth, Western Australia",3,2022,2,10,7,0.0,@amend1982 @AdamBandt Remember what happened two years later?
118,"['which', 'proves', 'this', 'pure', 'political', 'theatre', 'and', 'the', 'supposed', 'moderates', 'aren', 'really', 'supporting', 'trans', 'rights']","Victoria, Australia",3,2022,2,10,0,0.10526315789473684,@elchsa @byetofi @AdamBandt Which proves this is pure political theatre and the supposed moderates aren't really supporting trans rights.
